"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019- 04- 03","1,295.30","1,296.90","1,299.00","1,292.70","190.37K","-0.01%"
"2019- 04- 02","1,295.40","1,292.20","1,297.10","1,289.50","196.40K","0.09%"
"2019- 04- 01","1,294.20","1,297.20","1,301.70","1,291.00","236.66K","-0.33%"
"2019- 03- 29","1,298.50","1,295.00","1,304.60","1,291.30","270.18K","0.25%"
"2019- 03- 28","1,295.30","1,315.00","1,317.60","1,293.30","426.82K","-1.42%"
"2019- 03- 27","1,313.90","1,318.70","1,322.00","1,310.90","2.01K","-0.33%"
"2019- 03- 26","1,318.30","1,325.20","1,325.20","1,315.50","1.53K","-0.54%"
"2019- 03- 25","1,325.40","1,316.20","1,326.50","1,314.00","1.01K","0.76%"
"2019- 03- 22","1,315.40","1,312.30","1,317.60","1,310.00","0.50K","0.37%"
"2019- 03- 21","1,310.60","1,316.00","1,322.40","1,306.60","1.40K","0.45%"
"2019- 03- 20","1,304.70","1,309.00","1,319.60","1,301.50","2.47K","-0.37%"
"2019- 03- 19","1,309.60","1,308.20","1,313.10","1,307.20","0.58K","0.38%"
"2019- 03- 18","1,304.60","1,303.00","1,309.00","1,301.70","0.23K","-0.09%"
"2019- 03- 15","1,305.80","1,298.10","1,308.30","1,297.80","0.59K","0.56%"
"2019- 03- 14","1,298.50","1,310.00","1,310.00","1,295.90","1.04K","-1.07%"
"2019- 03- 13","1,312.50","1,304.00","1,314.50","1,304.00","0.21K","0.87%"
"2019- 03- 12","1,301.20","1,295.90","1,304.90","1,295.60","0.17K","0.53%"
"2019- 03- 11","1,294.30","1,300.90","1,301.90","1,294.10","0.12K","-0.64%"
"2019- 03- 08","1,302.70","1,294.30","1,303.10","1,293.80","0.16K","1.03%"
"2019- 03- 07","1,289.40","1,290.90","1,292.50","1,286.80","0.12K","-0.11%"
"2019- 03- 06","1,290.80","1,292.70","1,294.60","1,288.30","0.04K","0.23%"
"2019- 03- 05","1,287.80","1,290.20","1,292.80","1,286.00","0.08K","-0.21%"
"2019- 03- 04","1,290.50","1,297.60","1,301.00","1,287.00","0.24K","-0.92%"
"2019- 03- 01","1,302.50","1,311.10","1,314.60","1,297.00","0.06K","-1.28%"
"2019- 02- 28","1,319.40","1,327.80","1,328.00","1,318.10","0.07K","-0.42%"
"2019- 02- 27","1,325.00","1,325.00","1,325.00","1,325.00","198.04K","-0.26%"
"2019- 02- 26","1,328.50","1,329.90","1,332.40","1,325.50","185.56K","-0.08%"
"2019- 02- 25","1,329.50","1,331.90","1,334.90","1,327.30","181.78K","-0.25%"
"2019- 02- 22","1,332.80","1,325.80","1,335.60","1,323.80","241.80K","0.38%"
"2019- 02- 21","1,327.80","1,341.70","1,344.30","1,323.30","285.81K","-1.49%"
"2019- 02- 20","1,347.90","1,343.90","1,349.80","1,339.80","246.72K","0.23%"
"2019- 02- 19","1,344.80","1,325.00","1,345.00","1,323.80","348.64K","0.00%"
"2019- 02- 18","1,344.80","1,327.90","1,345.00","1,324.40","348.64K","1.72%"
"2019- 02- 15","1,322.10","1,315.50","1,325.80","1,314.30","200.28K","0.62%"
"2019- 02- 14","1,313.90","1,309.60","1,317.40","1,304.70","228.46K","-0.09%"
"2019- 02- 13","1,315.10","1,314.30","1,321.70","1,308.10","213.96K","0.08%"
"2019- 02- 12","1,314.00","1,311.60","1,318.30","1,310.00","146.45K","0.16%"
"2019- 02- 11","1,311.90","1,318.10","1,318.70","1,307.10","150.61K","-0.50%"
"2019- 02- 08","1,318.50","1,314.30","1,319.50","1,311.50","135.69K","0.33%"
"2019- 02- 07","1,314.20","1,310.90","1,315.80","1,306.40","166.76K","-0.02%"
"2019- 02- 06","1,314.40","1,319.40","1,319.90","1,309.60","137.25K","-0.36%"
"2019- 02- 05","1,319.20","1,316.80","1,321.00","1,314.80","129.01K","-0.01%"
"2019- 02- 04","1,319.30","1,322.60","1,323.60","1,312.70","159.56K","-0.21%"
"2019- 02- 01","1,322.10","1,326.00","1,328.20","1,320.60","200.00K","-0.23%"
"2019- 01- 31","1,325.20","1,325.40","1,331.10","1,322.20","224.75K","0.74%"
"2019- 01- 30","1,315.50","1,317.00","1,328.60","1,313.50","272.11K","0.26%"
"2019- 01- 29","1,312.10","1,305.00","1,313.80","1,304.80","2.36K","0.47%"
"2019- 01- 28","1,305.90","1,302.20","1,306.20","1,299.50","1.41K","0.40%"
"2019- 01- 25","1,300.70","1,282.40","1,305.30","1,281.70","1.94K","1.43%"
"2019- 01- 24","1,282.30","1,285.30","1,286.50","1,278.70","0.67K","-0.35%"
"2019- 01- 23","1,286.80","1,286.50","1,288.30","1,280.40","0.56K","0.08%"
"2019- 01- 22","1,285.80","1,284.50","1,287.20","1,279.00","1.27K","0.19%"
"2019- 01- 21","1,283.40","1,282.40","1,285.00","1,276.00","318.85K","-0.11%"
"2019- 01- 18","1,284.80","1,294.80","1,294.80","1,282.50","1.34K","-0.80%"
"2019- 01- 17","1,295.20","1,295.80","1,297.10","1,291.80","0.23K","-0.11%"
"2019- 01- 16","1,296.60","1,291.90","1,297.70","1,290.70","0.37K","0.40%"
"2019- 01- 15","1,291.40","1,294.30","1,298.00","1,290.00","0.34K","-0.25%"
"2019- 01- 14","1,294.70","1,296.40","1,299.40","1,291.10","0.30K","0.14%"
"2019- 01- 11","1,292.90","1,291.00","1,298.50","1,290.80","0.25K","0.16%"
"2019- 01- 10","1,290.80","1,297.30","1,300.90","1,290.70","0.20K","-0.36%"
"2019- 01- 09","1,295.40","1,289.10","1,297.90","1,284.60","0.14K","0.47%"
"2019- 01- 08","1,289.30","1,290.40","1,291.00","1,286.50","0.07K","-0.31%"
"2019- 01- 07","1,293.30","1,290.20","1,299.80","1,287.60","0.26K","0.32%"
"2019- 01- 04","1,289.20","1,301.00","1,301.90","1,282.30","0.29K","-0.71%"
"2019- 01- 03","1,298.40","1,293.50","1,298.10","1,289.70","0.56K","0.86%"
"2019- 01- 02","1,287.30","1,288.10","1,293.70","1,284.30","0.13K","0.22%"
"2018- 12- 31","1,284.50","1,284.00","1,288.60","1,284.00","0.02K","-0.12%"
"2018- 12- 28","1,286.10","1,286.10","1,286.10","1,286.10","162.73K","0.39%"
"2018- 12- 27","1,281.10","1,270.10","1,281.60","1,269.10","213.50K","0.64%"
"2018- 12- 26","1,273.00","1,273.50","1,282.30","1,267.40","208.54K","0.09%"
"2018- 12- 24","1,271.80","1,260.70","1,273.90","1,260.00","137.24K","1.09%"
"2018- 12- 21","1,258.10","1,263.50","1,266.20","1,257.10","212.78K","-0.77%"
"2018- 12- 20","1,267.90","1,247.00","1,270.30","1,246.20","318.24K","0.92%"
"2018- 12- 19","1,256.40","1,253.50","1,262.20","1,245.30","275.31K","0.22%"
"2018- 12- 18","1,253.60","1,249.70","1,254.50","1,249.00","171.59K","0.14%"
"2018- 12- 17","1,251.80","1,242.80","1,252.20","1,239.40","166.88K","0.84%"
"2018- 12- 14","1,241.40","1,246.20","1,247.30","1,236.50","194.65K","-0.48%"
"2018- 12- 13","1,247.40","1,250.70","1,251.70","1,244.40","158.85K","-0.21%"
"2018- 12- 12","1,250.00","1,248.30","1,252.60","1,247.10","157.07K","0.22%"
"2018- 12- 11","1,247.20","1,249.80","1,255.10","1,245.80","186.39K","-0.18%"
"2018- 12- 10","1,249.40","1,255.60","1,256.60","1,246.90","199.74K","-0.26%"
"2018- 12- 07","1,252.60","1,243.10","1,255.80","1,242.60","225.56K","0.72%"
"2018- 12- 06","1,243.60","1,243.00","1,249.90","1,240.00","248.86K","0.08%"
"2018- 12- 05","1,242.60","1,244.60","1,244.80","1,238.70","110.21K","-0.32%"
"2018- 12- 04","1,246.60","1,236.30","1,247.50","1,235.80","221.14K","0.56%"
"2018- 12- 03","1,239.60","1,227.80","1,240.40","1,226.60","247.72K","1.11%"
"2018- 11- 30","1,226.00","1,229.90","1,231.10","1,221.80","170.45K","-0.36%"
"2018- 11- 29","1,230.40","1,227.10","1,234.90","1,226.70","246.43K","0.26%"
"2018- 11- 28","1,227.20","1,217.70","1,230.20","1,214.50","1.37K","0.83%"
"2018- 11- 27","1,217.10","1,226.90","1,228.80","1,215.90","0.77K","-0.73%"
